Flight ID               Lift Off Time   Gallons  Ticket Price
AirBus319 Flight: 8             16         466       372.80
AirBus319 Flight: 18            20         419       335.20
AirBus319 Flight: 20            24         370       296.00
AirBus319 Flight: 11            28         442       353.60
AirBus319 Flight: 3             32         434       347.20
Boeing787 Flight: 1             35        1078       700.70
AirBus319 Flight: 6             36         418       334.40
Boeing787 Flight: 13            40        1668      1084.20
AirBus319 Flight: 2             40         371       296.80
AirBus319 Flight: 15            44         410       328.00
Boeing787 Flight: 17            45        1313       853.45
AirBus319 Flight: 25            48         472       377.60
Boeing787 Flight: 9             50         514       334.10
AirBus319 Flight: 26            52         407       325.60
Boeing787 Flight: 5             55        1898      1233.70
AirBus319 Flight: 7             56         366       292.80
Boeing787 Flight: 27            60        1838      1194.70
AirBus319 Flight: 10            60         391       312.80
AirBus319 Flight: 19            64         366       292.80
Boeing787 Flight: 21            65        1692      1099.80
AirBus319 Flight: 4             68         499       399.20
Boeing787 Flight: 24            70        1632      1060.80
AirBus319 Flight: 12            72         429       343.20
Boeing787 Flight: 28            75         601       390.65
AirBus319 Flight: 14            76         470       376.00
Boeing787 Flight: 34            80        1755      1140.75
AirBus319 Flight: 32            80         359       287.20
AirBus319 Flight: 30            84         431       344.80
Boeing787 Flight: 35            85        1686      1095.90
AirBus319 Flight: 22            88         370       296.00
Boeing787 Flight: 31            90        1863      1210.95
AirBus319 Flight: 16            92         363       290.40
Boeing787 Flight: 45            95         633       411.45
AirBus319 Flight: 39            96         400       320.00
Boeing787 Flight: 41           100        1968      1279.20
AirBus319 Flight: 23           100         500       400.00
AirBus319 Flight: 33           104         482       385.60
Boeing787 Flight: 38           105         637       414.05
AirBus319 Flight: 37           108         363       290.40
Boeing787 Flight: 55           110        1060       689.00
AirBus319 Flight: 40           112         486       388.80
Boeing787 Flight: 48           115         744       483.60
AirBus319 Flight: 47           116         355       284.00
Boeing787 Flight: 52           120        1686      1095.90
AirBus319 Flight: 29           120         443       354.40
AirBus319 Flight: 36           124         428       342.40
Boeing787 Flight: 42           125        1073       697.45
AirBus319 Flight: 43           128         390       312.00
Boeing787 Flight: 49           130        1704      1107.60
AirBus319 Flight: 44           132         367       293.60
Boeing787 Flight: 56           135        1460       949.00
AirBus319 Flight: 46           136         451       360.80
Boeing787 Flight: 62           140        1845      1199.25
AirBus319 Flight: 51           140         427       341.60
AirBus319 Flight: 50           144         434       347.20
Boeing787 Flight: 59           145        1889      1227.85
AirBus319 Flight: 61           148         380       304.00
Boeing787 Flight: 73           150        1130       734.50
AirBus319 Flight: 53           152         424       339.20
Boeing787 Flight: 69           155        1078       700.70
AirBus319 Flight: 54           156         493       394.40
Boeing787 Flight: 63           160        1569      1019.85
AirBus319 Flight: 65           160         421       336.80
AirBus319 Flight: 57           164         443       354.40
Boeing787 Flight: 66           165        1410       916.50
AirBus319 Flight: 58           168         363       290.40
Boeing787 Flight: 80           170        1438       934.70
AirBus319 Flight: 60           172         424       339.20
Boeing787 Flight: 70           175        1765      1147.25
AirBus319 Flight: 72           176         413       330.40
Boeing787 Flight: 77           180         918       596.70
AirBus319 Flight: 67           180         472       377.60
AirBus319 Flight: 71           184         493       394.40
Boeing787 Flight: 76           185        1911      1242.15
AirBus319 Flight: 74           188         487       389.60
Boeing787 Flight: 90           190        1425       926.25
AirBus319 Flight: 68           192         424       339.20
Boeing787 Flight: 83           195        1913      1243.45
AirBus319 Flight: 64           196         457       365.60
Boeing787 Flight: 87           200        1875      1218.75
AirBus319 Flight: 75           200         465       372.00
AirBus319 Flight: 82           204         357       285.60
Boeing787 Flight: 84           205        1848      1201.20
AirBus319 Flight: 85           208         425       340.00
Boeing787 Flight: 91           210        1996      1297.40
AirBus319 Flight: 96           212         384       307.20
Boeing787 Flight: 97           215        1285       835.25
AirBus319 Flight: 88           216         392       313.60
Boeing787 Flight: 94           220        1567      1018.55
AirBus319 Flight: 81           220         391       312.80
AirBus319 Flight: 92           224         394       315.20
Boeing787 Flight: 101          225        1649      1071.85
AirBus319 Flight: 78           228         439       351.20
Boeing787 Flight: 104          230        1532       995.80
AirBus319 Flight: 79           232         432       345.60
Boeing787 Flight: 98           235         643       417.95
AirBus319 Flight: 95           236         427       341.60
AirBus319 Flight: 99           240         465       372.00
AirBus319 Flight: 100          244         428       342.40
AirBus319 Flight: 89           248         405       324.00
AirBus319 Flight: 86           252         423       338.40
AirBus319 Flight: 102          256         403       322.40
AirBus319 Flight: 93           260         485       388.00
AirBus319 Flight: 103          264         352       281.60
